documento,numero,servidor,data,,
R E G I S T R O O R C A M E N T A R I O,2025NS023415,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023414,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023413,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023412,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023411,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023410,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023409,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023408,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023407,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023406,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023405,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023404,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023403,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023402,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023401,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023400,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023399,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023398,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023397,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023396,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023395,SRV-03,26/09/2023,,
O R D E M B A N C A R I A,2025NS023394,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023393,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023392,SRV-03,26/09/2023,,
N O T A D E D O T A C A O,2025NS023391,SRV-03,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023390,SRV-03,26/09/2023,,
