documento,numero,servidor,data,,
N O T A D E D O T A C A O,2025NS023497,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023496,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023495,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023494,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023493,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023492,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023491,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023490,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023489,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023488,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023487,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023486,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023485,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023484,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023483,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023482,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023481,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023480,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023479,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023478,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023477,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023476,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023475,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023474,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023473,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023472,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023471,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023470,Victor,26/09/2023,,
N O T A D E D O T A C A O,2025NS023469,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023468,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023467,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023466,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023465,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023464,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023463,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023462,Victor,26/09/2023,,
R E G I S T R O O R C A M E N T A R I O,2025NS023461,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023460,Victor,26/09/2023,,
O R D E M B A N C A R I A,2025NS023459,Victor,26/09/2023,,
